name,type,address,rating,comments,link,images,raw_detail
Parada de taxi (Cruce Paraguarí Segunda División de Infantería),Servicio de transporte,"6HW7+5G3, Ruta Paraguari, Villarrica 040115, Paraguay",4.8,(5),https://www.google.com/maps/place/Parada+de+taxi+%28Cruce+Paraguar%C3%AD+Segunda+Divisi%C3%B3n+de+Infanter%C3%ADa%29/data=!4m7!3m6!1s0x945ecdcfdb21f85b:0x9aee4aa0249a76ba!8m2!3d-25.7546126!4d-56.436208!16s%2Fg%2F11pz22c3pd!19sChIJW_gh28_NXpQRunaaJKBK7po?authuser=0&hl=es-419&rclk=1,https://lh3.googleusercontent.com/p/AF1QipMS7SPKhnxMIvvE6bvqormpxzC2abjPblnfNL_S=w600;https://lh3.googleusercontent.com/p/AF1QipMS7SPKhnxMIvvE6bvqormpxzC2abjPblnfNL_S=w600;;,"6HW7+5G3, Ruta Paraguari, Villarrica 040115, Paraguay|Reclamar este negocio"
3° División de Infantería,Base militar,"G85H+PGF, Cd. del Este 100113, Paraguay",3.7,(3),https://www.google.com/maps/place/3%C2%B0+Divisi%C3%B3n+de+Infanter%C3%ADa/data=!4m7!3m6!1s0x94f685b415555555:0x52c92ec9f2a26290!8m2!3d-25.4906807!4d-54.6712073!16s%2Fg%2F11l_0t339r!19sChIJVVVVFbSF9pQRkGKi8skuyVI?authuser=0&hl=es-419&rclk=1,;;;,"G85H+PGF, Cd. del Este 100113, Paraguay|Reclamar este negocio"
3° División de Infantería,Base militar,"G85H+PGF, Cd. del Este 100113, Paraguay",3.7,(3),https://www.google.com/maps/place/3%C2%B0+Divisi%C3%B3n+de+Infanter%C3%ADa/data=!4m7!3m6!1s0x94f685b415555555:0x52c92ec9f2a26290!8m2!3d-25.4906807!4d-54.6712073!16s%2Fg%2F11l_0t339r!19sChIJVVVVFbSF9pQRkGKi8skuyVI?authuser=0&hl=es-419&rclk=1,;;;,"G85H+PGF, Cd. del Este 100113, Paraguay|Reclamar este negocio"
3° División de Infantería,Base militar,"G85H+PGF, Cd. del Este 100113, Paraguay",3.7,(3),https://www.google.com/maps/place/3%C2%B0+Divisi%C3%B3n+de+Infanter%C3%ADa/data=!4m7!3m6!1s0x94f685b415555555:0x52c92ec9f2a26290!8m2!3d-25.4906807!4d-54.6712073!16s%2Fg%2F11l_0t339r!19sChIJVVVVFbSF9pQRkGKi8skuyVI?authuser=0&hl=es-419&rclk=1,;;;,"G85H+PGF, Cd. del Este 100113, Paraguay|Reclamar este negocio"
3° División de Infantería,Base militar,"G85H+PGF, Cd. del Este 100113, Paraguay",3.7,(3),https://www.google.com/maps/place/3%C2%B0+Divisi%C3%B3n+de+Infanter%C3%ADa/data=!4m7!3m6!1s0x94f685b415555555:0x52c92ec9f2a26290!8m2!3d-25.4906807!4d-54.6712073!16s%2Fg%2F11l_0t339r!19sChIJVVVVFbSF9pQRkGKi8skuyVI?authuser=0&hl=es-419&rclk=1,;;;,"G85H+PGF, Cd. del Este 100113, Paraguay|Reclamar este negocio"
3° División de Infantería,Base militar,"G85H+PGF, Cd. del Este 100113, Paraguay",3.7,(3),https://www.google.com/maps/place/3%C2%B0+Divisi%C3%B3n+de+Infanter%C3%ADa/data=!4m7!3m6!1s0x94f685b415555555:0x52c92ec9f2a26290!8m2!3d-25.4906807!4d-54.6712073!16s%2Fg%2F11l_0t339r!19sChIJVVVVFbSF9pQRkGKi8skuyVI?authuser=0&hl=es-419&rclk=1,;;;,"G85H+PGF, Cd. del Este 100113, Paraguay|Reclamar este negocio"
Segunda División de Infantería,Oficinas de empresa,"6HV7+H79, Dr. Blas Garay, Villarrica 040115, Paraguay",4.6,(36),https://www.google.com/maps/place/Segunda+Divisi%C3%B3n+de+Infanter%C3%ADa/data=!4m7!3m6!1s0x945ecd122dbba0cb:0xd240dafe0784e538!8m2!3d-25.7560947!4d-56.4367798!16s%2Fg%2F11gy26v8qd!19sChIJy6C7LRLNXpQROOWEB_7aQNI?authuser=0&hl=es-419&rclk=1,https://lh3.googleusercontent.com/p/AF1QipPjNlurxTvcfFZWfu5Ovw1Ey74MSXIIWNmB5_6u=w600;https://lh3.googleusercontent.com/p/AF1QipPjNlurxTvcfFZWfu5Ovw1Ey74MSXIIWNmB5_6u=w600;;,"6HV7+H79, Dr. Blas Garay, Villarrica 040115, Paraguay|+595 541 43172|Reclamar este negocio"
Batallon de Infanteria N.° 1,Cuarteles militares,"5WM3+838, 13000 Montevideo, Departamento de Montevideo, Uruguay",4.5,(23),https://www.google.com/maps/place/Batallon+de+Infanteria+N.%C2%B0+1/data=!4m7!3m6!1s0x95a0296feb7d0c3f:0x71534deac4030a1f!8m2!3d-34.8167144!4d-56.0973058!16s%2Fg%2F11ff1xyh7h!19sChIJPwx9628poJURHwoDxOpNU3E?authuser=0&hl=es-419&rclk=1,https://lh3.googleusercontent.com/p/AF1QipO0jZ_5-sJeVX8l2vASm5OLidHpOVJvpRuvE1JU=w600;https://lh3.googleusercontent.com/p/AF1QipO0jZ_5-sJeVX8l2vASm5OLidHpOVJvpRuvE1JU=w600;;,"5WM3+838, 13000 Montevideo, Departamento de Montevideo, Uruguay|Reclamar este negocio"
"Regimiento de infantería de monte N°4 ""Coronel Manuel Fraga""",Base militar,"Monte Caseros, Corrientes, Argentina",4.1,(17),https://www.google.com/maps/place/Regimiento+de+infanter%C3%ADa+de+monte+N%C2%B04+%22Coronel+Manuel+Fraga%22/data=!4m7!3m6!1s0x95ad29f9ba64cc6d:0x2d5977f453e3c03c!8m2!3d-30.2345046!4d-57.65332!16s%2Fg%2F11cr_hpl3z!19sChIJbcxkuvkprZURPMDjU_R3WS0?authuser=0&hl=es-419&rclk=1,;;;,"Monte Caseros, Corrientes, Argentina|Q88W+5M Monte Caseros, Corrientes, Argentina|Reclamar este negocio"
Comando de Infantería de Marina (COMIM),Oficinas de empresa,"Justo Pastor Candia &, Facundo Insfran, Asunción, Paraguay",4.8,(45),https://www.google.com/maps/place/Comando+de+Infanter%C3%ADa+de+Marina+%28COMIM%29/data=!4m7!3m6!1s0x945d09226e9dd379:0x5e2d65f2b1bcd039!8m2!3d-25.2769047!4d-57.6495931!16s%2Fg%2F11j6z_9vgq!19sChIJedOdbiIJXZQROdC8sfJlLV4?authuser=0&hl=es-419&rclk=1,;;;,"Justo Pastor Candia &, Facundo Insfran, Asunción, Paraguay|P9F2+65 Asunción, Paraguay"
